                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5197,                  5.603,                 1.0985,                0.00103,                      1,                  0.695,                0.46465,                 1.3097,                 4.4912,                0.97228,               0.070476,              0.0032804,              0.0032804
                      1,                  1.724,                 2.8393,                  1.219,                0.23332,                    0.5,                0.50137,                0.20137,                 1.3759,                  3.735,                 1.2604,               0.040411,              0.0065483,              0.0065483
                      2,                  1.998,                 3.4552,                 1.3015,                0.38558,                    0.5,                0.49533,                0.22291,                  2.094,                 3.6868,                 1.9743,               0.010279,              0.0097501,              0.0097501
                      3,                  2.369,                 3.8476,                 1.6251,                0.00042,                    0.5,                0.00083,                 0.0003,                 3.3883,                 15.579,                 5.2309,               0.009703,               0.009703,               0.009703
                      4,                 2.5556,                 3.6107,                  1.788,                0.01509,                    0.5,                0.01806,                0.01078,                 2.2503,                 14.138,                 2.0793,               0.009703,               0.009703,               0.009703
                      5,                 2.7498,                 4.0509,                 1.9299,                0.01205,                    0.5,                0.05257,                0.01577,                 2.5489,                 4.1001,                 2.5502,               0.009604,               0.009604,               0.009604
                      6,                 2.6687,                 3.6887,                 1.9831,                0.00055,                    0.5,                0.07085,                0.02146,                 1.9988,                 4.7758,                 1.7784,               0.009505,               0.009505,               0.009505
                      7,                 2.7544,                 3.1588,                 2.0345,                0.07689,                    0.5,                 0.1615,                0.02186,                 3.0943,                   2.87,                 3.1677,               0.009406,               0.009406,               0.009406
                      8,                 2.6143,                 3.0726,                 1.8281,                0.69202,                    0.5,                  0.595,                0.16939,                 1.8984,                 2.2906,                  2.169,               0.009307,               0.009307,               0.009307
                      9,                 2.5473,                 2.6489,                 1.8503,                0.65436,                      1,                0.82833,                0.22974,                 2.6686,                 2.3811,                 3.0697,               0.009208,               0.009208,               0.009208
                     10,                 2.4653,                 2.8334,                  1.728,                0.91028,                    0.5,                0.50281,                0.19892,                 3.5137,                 2.9875,                 2.4006,               0.009109,               0.009109,               0.009109
                     11,                 2.4968,                  2.773,                  1.769,                0.83421,                    0.5,                0.51628,                0.08998,                 2.7725,                 2.9215,                 2.1201,                0.00901,                0.00901,                0.00901
                     12,                 2.5028,                 2.7487,                 1.7815,                0.66266,                    0.5,                0.58591,                0.38012,                 2.3569,                 1.7144,                 2.0512,               0.008911,               0.008911,               0.008911
                     13,                 2.3678,                 2.5887,                 1.6331,                0.90866,                    0.5,                  0.745,                0.56236,                 1.4696,                  1.866,                 1.6362,               0.008812,               0.008812,               0.008812
                     14,                 2.3393,                 2.5973,                 1.6708,                      1,                0.93835,                  0.995,                0.49946,                 2.1506,                 1.8575,                 1.7847,               0.008713,               0.008713,               0.008713
                     15,                 2.3633,                 2.4021,                  1.681,                0.90303,                    0.5,                0.63786,                 0.2663,                 1.8592,                  1.634,                 1.5921,               0.008614,               0.008614,               0.008614
                     16,                 2.3886,                  2.565,                 1.6238,                0.63993,                      1,                0.82833,                0.33147,                 2.0656,                 1.3969,                 1.9311,               0.008515,               0.008515,               0.008515
                     17,                 2.2484,                 2.3714,                 1.6524,                0.84691,                    0.5,                  0.695,                0.30643,                 1.9149,                 1.5909,                 1.8983,               0.008416,               0.008416,               0.008416
                     18,                 2.1752,                 2.2433,                 1.6379,                0.78535,                    0.5,                0.54262,                0.16277,                 2.5126,                 1.9157,                  2.149,               0.008317,               0.008317,               0.008317
                     19,                 2.2703,                 2.3085,                 1.6662,                0.94412,                      1,                  0.995,                0.44771,                 1.9497,                  1.753,                 1.9127,               0.008218,               0.008218,               0.008218
                     20,                 2.1994,                 2.1342,                 1.6089,                0.97429,                      1,                  0.995,                  0.597,                 1.7536,                 1.1012,                 1.7309,               0.008119,               0.008119,               0.008119
                     21,                 2.1837,                 2.2531,                 1.5851,                 0.8894,                    0.5,                0.82833,                0.56327,                 1.4184,                 1.4461,                 1.5335,                0.00802,                0.00802,                0.00802
                     22,                 2.1473,                 2.2504,                 1.5746,                0.64797,                      1,                  0.995,                 0.6965,                 1.5152,                 1.3201,                 1.6613,               0.007921,               0.007921,               0.007921
                     23,                 2.1315,                 2.0936,                 1.6041,                      1,                0.94405,                  0.995,                0.51097,                 1.4747,                 1.3514,                 1.3968,               0.007822,               0.007822,               0.007822
                     24,                 2.0788,                  1.979,                  1.594,                0.94638,                      1,                  0.995,                0.64682,                 1.6024,                 1.0972,                 1.5763,               0.007723,               0.007723,               0.007723
                     25,                 2.0906,                 2.1985,                 1.5056,                      1,                0.97693,                  0.995,                0.46394,                 1.7005,                 1.3815,                 1.7151,               0.007624,               0.007624,               0.007624
                     26,                 2.2196,                  2.276,                 1.6515,                0.81406,                    0.5,                 0.5253,                0.26971,                 2.4729,                  2.112,                 2.3498,               0.007525,               0.007525,               0.007525
                     27,                  2.022,                 1.9892,                 1.5747,                      1,                0.97735,                  0.995,                0.45854,                 2.0245,                 1.3419,                 1.7314,               0.007426,               0.007426,               0.007426
                     28,                 1.9255,                 1.9172,                   1.44,                      1,                0.96336,                  0.995,                0.64749,                 1.0334,                 1.4094,                 1.1497,               0.007327,               0.007327,               0.007327
                     29,                 2.0825,                 2.1623,                 1.5137,                0.92529,                    0.5,                0.82833,                0.50433,                 1.3922,                 1.9011,                  1.278,               0.007228,               0.007228,               0.007228
                     30,                 1.9756,                 2.1042,                 1.4453,                  0.497,                      1,                0.82833,                 0.5307,                 1.2771,                 1.5456,                 1.3408,               0.007129,               0.007129,               0.007129
                     31,                 1.9861,                 1.9754,                 1.4552,                0.82477,                    0.5,                  0.745,                0.48509,                  1.441,                  1.238,                 1.4303,                0.00703,                0.00703,                0.00703
                     32,                 1.8212,                 1.7864,                 1.3736,                0.64439,                      1,                0.82833,                0.51377,                 1.6919,                  1.149,                 1.6193,               0.006931,               0.006931,               0.006931
                     33,                 1.8858,                 1.8817,                 1.3917,                0.65213,                      1,                0.82833,                0.59654,                 1.2095,                  1.099,                 1.2654,               0.006832,               0.006832,               0.006832
                     34,                   1.85,                 1.8453,                 1.3916,                0.60836,                      1,                0.82833,                 0.7126,                0.93701,                0.97113,                 1.1714,               0.006733,               0.006733,               0.006733
                     35,                 1.9805,                 1.9829,                 1.4434,                0.91098,                      1,                  0.995,                 0.5789,                 1.3891,                 1.0976,                 1.3194,               0.006634,               0.006634,               0.006634
                     36,                 1.9894,                 1.7813,                 1.4704,                0.99024,                      1,                  0.995,                0.67177,                 1.2079,                 1.0593,                 1.4114,               0.006535,               0.006535,               0.006535
                     37,                 1.8463,                  1.848,                 1.3704,                0.87385,                      1,                  0.995,                0.57314,                 1.3513,                0.95532,                 1.2314,               0.006436,               0.006436,               0.006436
                     38,                 1.8532,                 1.8882,                 1.3431,                  0.982,                      1,                  0.995,                0.62188,                 1.2106,                 1.1893,                 1.1701,               0.006337,               0.006337,               0.006337
                     39,                 1.8117,                 1.9217,                 1.3621,                0.96534,                      1,                  0.995,                0.65085,                 1.2855,                0.87361,                 1.3689,               0.006238,               0.006238,               0.006238
                     40,                 1.8606,                 1.7631,                 1.4047,                0.97339,                      1,                  0.995,                0.67152,                  1.094,                0.91841,                 1.2129,               0.006139,               0.006139,               0.006139
                     41,                 1.9166,                 1.8174,                 1.4171,                 0.9848,                      1,                  0.995,                0.69665,                 1.1694,                0.86841,                 1.1931,                0.00604,                0.00604,                0.00604
                     42,                 1.6557,                 1.7816,                  1.251,                      1,                0.96204,                  0.995,                 0.8955,                0.89871,                0.98295,                 1.0859,               0.005941,               0.005941,               0.005941
                     43,                 1.7315,                 1.6066,                 1.3378,                      1,                  0.977,                  0.995,                0.72152,                 1.0837,                 1.1974,                 1.2011,               0.005842,               0.005842,               0.005842
                     44,                 1.8356,                 1.6822,                 1.3501,                      1,                0.97662,                  0.995,                0.67959,                 1.2942,                 1.1485,                 1.2624,               0.005743,               0.005743,               0.005743
                     45,                 1.8438,                 1.8659,                  1.378,                0.96622,                      1,                  0.995,                0.75562,                 1.1561,                0.98915,                 1.1305,               0.005644,               0.005644,               0.005644
                     46,                  1.691,                 1.6064,                 1.3158,                  0.625,                      1,                0.82833,                0.67941,                 1.0921,                0.92474,                 1.1624,               0.005545,               0.005545,               0.005545
                     47,                 1.7424,                 1.4892,                 1.2942,                      1,                 0.9605,                  0.995,                  0.696,                 1.0745,                0.94844,                 1.0982,               0.005446,               0.005446,               0.005446
                     48,                 1.6461,                 1.5379,                 1.2923,                0.98072,                      1,                  0.995,                0.79591,                0.97194,                0.94548,                 1.0185,               0.005347,               0.005347,               0.005347
                     49,                 1.6251,                 1.6155,                 1.2534,                0.97808,                      1,                  0.995,                0.67148,                 1.3817,                0.84509,                 1.1961,               0.005248,               0.005248,               0.005248
                     50,                 1.7017,                 1.6905,                 1.2972,                 0.9791,                      1,                  0.995,                  0.796,                0.86277,                 1.0656,                 1.0674,               0.005149,               0.005149,               0.005149
                     51,                 1.6346,                 1.4286,                 1.2818,                      1,                0.96673,                  0.995,                0.57192,                 1.1912,                0.98967,                 1.1283,                0.00505,                0.00505,                0.00505
                     52,                 1.6713,                 1.5378,                 1.2397,                 0.9784,                      1,                  0.995,                0.82102,                 1.0228,                  0.897,                 1.0659,               0.004951,               0.004951,               0.004951
                     53,                 1.7838,                  1.825,                 1.2627,                0.99883,                      1,                  0.995,                0.82134,                 1.1528,                0.77582,                 1.1053,               0.004852,               0.004852,               0.004852
                     54,                  1.728,                 1.8332,                 1.3192,                0.97452,                      1,                  0.995,                0.64677,                 1.0839,                 1.0061,                 1.1193,               0.004753,               0.004753,               0.004753
                     55,                 1.4859,                   1.36,                 1.1693,                0.63744,                      1,                0.82833,                0.71248,                0.78479,                 1.0789,                0.97694,               0.004654,               0.004654,               0.004654
                     56,                  1.701,                 1.5831,                 1.3013,                      1,                0.98552,                  0.995,                0.75468,                 1.2726,                0.90821,                 1.1967,               0.004555,               0.004555,               0.004555
                     57,                 1.7537,                 1.6122,                 1.2696,                0.92581,                      1,                  0.995,                0.69661,                 1.0558,                 1.0499,                 1.0804,               0.004456,               0.004456,               0.004456
                     58,                 1.5307,                 1.4435,                 1.2029,                0.97888,                      1,                  0.995,                0.69649,                0.93749,                0.82497,                 1.0595,               0.004357,               0.004357,               0.004357
                     59,                 1.5811,                 1.4763,                 1.2288,                0.98898,                      1,                  0.995,                0.54735,                 1.2409,                0.76788,                 1.1135,               0.004258,               0.004258,               0.004258
                     60,                 1.6555,                 1.4995,                 1.2544,                0.99302,                      1,                  0.995,                0.84577,                0.81295,                0.73911,                 1.0478,               0.004159,               0.004159,               0.004159
                     61,                 1.5955,                 1.5901,                 1.2413,                      1,                0.98987,                  0.995,                0.74627,                0.84845,                0.77762,                0.96781,                0.00406,                0.00406,                0.00406
                     62,                 1.5784,                 1.4812,                 1.2132,                      1,                0.99475,                  0.995,                0.74624,                0.69419,                0.80488,                 0.9174,               0.003961,               0.003961,               0.003961
                     63,                 1.6059,                 1.4367,                 1.3257,                0.99767,                      1,                  0.995,                0.74642,                 0.7849,                0.89131,                  1.024,               0.003862,               0.003862,               0.003862
                     64,                 1.5027,                 1.3184,                 1.2181,                0.97293,                      1,                  0.995,                0.74637,                 0.7911,                0.78922,                 1.0332,               0.003763,               0.003763,               0.003763
                     65,                 1.4843,                 1.2433,                  1.184,                0.99202,                      1,                  0.995,                0.72143,                0.80533,                0.95843,                0.97629,               0.003664,               0.003664,               0.003664
                     66,                 1.5109,                 1.3009,                 1.1782,                0.97885,                      1,                  0.995,                0.74724,                 0.8987,                0.68922,                 0.9801,               0.003565,               0.003565,               0.003565
                     67,                 1.4854,                 1.4548,                 1.1643,                      1,                0.97135,                  0.995,                0.71346,                0.95365,                 0.8257,                0.99903,               0.003466,               0.003466,               0.003466
                     68,                 1.5454,                 1.5653,                 1.1686,                0.98132,                      1,                  0.995,                0.79652,                0.74512,                0.70185,                 1.0061,               0.003367,               0.003367,               0.003367
                     69,                 1.5465,                  1.399,                 1.1648,                      1,                0.99418,                  0.995,                0.82883,                0.66764,                0.71684,                0.94748,               0.003268,               0.003268,               0.003268
                     70,                 1.3909,                 1.2024,                 1.1454,                 0.9815,                      1,                  0.995,                0.77937,                 0.7247,                0.75872,                 0.9512,               0.003169,               0.003169,               0.003169
                     71,                 1.4955,                  1.317,                 1.2245,                0.98489,                      1,                  0.995,                  0.796,                0.76391,                0.64689,                0.93498,                0.00307,                0.00307,                0.00307
                     72,                 1.4873,                 1.1971,                 1.1746,                0.99051,                      1,                  0.995,                0.74682,                0.75498,                0.69181,                0.95463,               0.002971,               0.002971,               0.002971
                     73,                 1.5222,                 1.4047,                 1.1583,                0.97902,                      1,                  0.995,                0.69689,                0.95069,                0.85574,                 1.1624,               0.002872,               0.002872,               0.002872
                     74,                 1.5061,                 1.3081,                 1.1879,                0.98551,                      1,                  0.995,                0.74649,                0.93597,                 0.6565,                  1.006,               0.002773,               0.002773,               0.002773
                     75,                 1.4555,                 1.2271,                 1.1781,                0.98984,                      1,                  0.995,                0.80403,                0.64258,                0.73402,                0.91626,               0.002674,               0.002674,               0.002674
                     76,                 1.3785,                 1.1622,                 1.0921,                      1,                0.99941,                  0.995,                0.71307,                 0.8429,                0.74243,                 0.9613,               0.002575,               0.002575,               0.002575
                     77,                  1.436,                  1.191,                 1.1786,                0.98726,                      1,                  0.995,                0.82112,                0.90661,                0.78587,                0.99717,               0.002476,               0.002476,               0.002476
                     78,                 1.4573,                 1.1942,                  1.162,                0.98358,                      1,                  0.995,                0.79626,                0.79906,                0.55476,                0.94182,               0.002377,               0.002377,               0.002377
                     79,                 1.3971,                 1.1633,                 1.1581,                 0.9853,                      1,                  0.995,                0.79644,                0.69649,                0.60167,                0.89681,               0.002278,               0.002278,               0.002278
                     80,                 1.4386,                 1.1915,                 1.1903,                 0.9903,                      1,                  0.995,                0.74694,                 1.0528,                0.66942,                0.98527,               0.002179,               0.002179,               0.002179
                     81,                 1.3737,                  1.202,                  1.106,                 0.9869,                      1,                  0.995,                0.89568,                0.52275,                0.57244,                0.88106,                0.00208,                0.00208,                0.00208
                     82,                 1.3699,                 1.1456,                 1.1291,                0.98242,                      1,                  0.995,                0.84583,                0.68169,                0.59926,                0.89898,               0.001981,               0.001981,               0.001981
                     83,                 1.3994,                 1.1616,                 1.1419,                0.98618,                      1,                  0.995,                  0.995,                0.60075,                0.70226,                0.88835,               0.001882,               0.001882,               0.001882
                     84,                 1.4659,                 1.1822,                 1.1139,                0.98346,                      1,                  0.995,                0.89585,                0.63362,                 0.5913,                0.89506,               0.001783,               0.001783,               0.001783
                     85,                 1.3003,                 1.1596,                 1.0743,                0.98673,                      1,                  0.995,                0.84602,                0.67028,                0.60412,                0.92216,               0.001684,               0.001684,               0.001684
                     86,                  1.364,                 1.2006,                 1.1251,                0.98655,                      1,                  0.995,                0.84595,                0.67312,                0.61026,                0.94254,               0.001585,               0.001585,               0.001585
                     87,                 1.3426,                 1.1476,                 1.1111,                0.98536,                      1,                  0.995,                0.79654,                0.71877,                0.53737,                0.90546,               0.001486,               0.001486,               0.001486
                     88,                 1.3313,                 1.0934,                 1.1086,                0.98573,                      1,                  0.995,                0.84609,                0.83069,                0.69369,                0.95398,               0.001387,               0.001387,               0.001387
